incident_date,incident_hour,day_of_week,month,year,latitude,longitude,bike_value
2026-08-03,14,Monday,8,2026,52.368235707650555,13.07,1000
2026-08-01,17,Saturday,8,2026,52.36998678494144,13.196587928008112,645
2026-08-03,19,Monday,8,2026,52.45618442690503,13.158917829280751,0
2026-08-02,12,Sunday,8,2026,52.5200514928204,13.37227794007801,1800
2026-08-02,20,Sunday,8,2026,52.43889233126384,13.387221956798255,850
2026-08-01,22,Saturday,8,2026,52.41209315215254,13.324508333406154,1500
2026-07-31,18,Friday,7,2026,52.62336064077537,13.572788598118885,2500
2026-08-03,9,Monday,8,2026,52.649771736457645,13.649591233732945,330
2026-08-03,19,Monday,8,2026,52.34672628070325,13.148065880775349,1000
2026-08-03,7,Monday,8,2026,52.46432800217929,13.230917995511458,750
2026-08-03,19,Monday,8,2026,52.36042911535938,13.268602062585552,629
2026-08-03,5,Monday,8,2026,52.434013512321485,13.309849091348685,1450
2026-08-03,11,Monday,8,2026,52.395698113578305,13.198194265487594,400
2026-07-31,21,Friday,7,2026,52.47553598776711,13.583102264147739,1019
2026-08-02,20,Sunday,8,2026,52.49165410837435,13.517279040919792,0
2026-08-03,8,Monday,8,2026,52.52968562353795,13.45536624879384,1199
2026-08-03,1,Monday,8,2026,52.33,13.167579331043369,500
2026-08-02,21,Sunday,8,2026,52.45291236662976,13.269712194119425,699
2026-08-02,21,Sunday,8,2026,52.40519879622394,13.315728157037833,300
2026-07-31,15,Friday,7,2026,52.574284814933236,13.76,600
2026-08-03,8,Monday,8,2026,52.40998243844608,13.095147207526852,2750
2026-08-03,18,Monday,8,2026,52.38571118497567,13.246926127038236,210
2026-08-01,15,Saturday,8,2026,52.340076410234396,13.106166408108779,1940
2026-08-01,22,Saturday,8,2026,52.332462590689325,13.207083290338009,949
2026-08-03,8,Monday,8,2026,52.46358086377374,13.353509841640347,1948
2026-08-03,15,Monday,8,2026,52.37574612948549,13.166635893405672,2600
2026-07-31,17,Friday,7,2026,52.33,13.185394630967306,330
2026-07-31,19,Friday,7,2026,52.57658490091728,13.588357816875238,2710
2026-08-03,12,Monday,8,2026,52.46746806550406,13.409954996513875,2750
2026-07-26,18,Sunday,7,2026,52.42261531251033,13.277532922744225,1999
2026-08-02,3,Sunday,8,2026,52.333414669388524,13.12802503081092,50
2026-07-23,19,Thursday,7,2026,52.42931390922545,13.07,180
2026-07-29,18,Wednesday,7,2026,52.6174251387631,13.740045497241022,240
2026-07-22,10,Wednesday,7,2026,52.464714453552205,13.51618143773079,850
2026-07-29,19,Wednesday,7,2026,52.41802724560516,13.106648508552098,389
2026-08-01,21,Saturday,8,2026,52.33,13.235297407098628,900
2026-08-02,12,Sunday,8,2026,52.59504317975024,13.505949746803381,375
2026-08-02,0,Sunday,8,2026,52.50671649380601,13.689164461655553,1079
2026-08-01,20,Saturday,8,2026,52.404290697555076,13.327082477444616,120
2026-07-30,18,Thursday,7,2026,52.57434306179345,13.574495027883913,650
2026-07-31,12,Friday,7,2026,52.400423328999764,13.07,509
2026-08-01,23,Saturday,8,2026,52.559668414059495,13.468764788416102,300
2026-08-02,16,Sunday,8,2026,52.43141758588059,13.31583514836247,4000
2026-07-31,12,Friday,7,2026,52.428844815220536,13.27125459083086,300
2026-08-02,18,Sunday,8,2026,52.436973900481625,13.40330185648139,1127
2026-08-02,22,Sunday,8,2026,52.562007789580264,13.695793084872605,250
2026-08-01,18,Saturday,8,2026,52.45436806145201,13.486347960563643,1900
2026-08-02,18,Sunday,8,2026,52.39625611131094,13.144650696840973,1700
2026-08-01,21,Saturday,8,2026,52.37398091447842,13.071005971413248,1579
2026-08-01,9,Saturday,8,2026,52.33,13.324975966640885,599
2026-08-01,21,Saturday,8,2026,52.54050419846973,13.39502838701758,199
2026-07-31,18,Friday,7,2026,52.33,13.082575427296232,150
2026-07-31,21,Friday,7,2026,52.5440538999847,13.587038888349369,524
2026-08-01,20,Saturday,8,2026,52.42088381444204,13.291301892191937,849
2026-08-01,20,Saturday,8,2026,52.3882499761248,13.129532956877586,1438
2026-08-01,14,Saturday,8,2026,52.396664005955806,13.088512115260025,1653
2026-08-01,10,Saturday,8,2026,52.602939123838865,13.676052186461012,929
2026-08-01,20,Saturday,8,2026,52.38153938120744,13.259109632690162,1932
2026-08-01,9,Saturday,8,2026,52.35326317157018,13.07,500
2026-07-31,19,Friday,7,2026,52.65347725635612,13.65073700439325,1800
2026-07-31,9,Friday,7,2026,52.547241288107735,13.501911175537044,333
2026-07-31,23,Friday,7,2026,52.44801705116681,13.36256289276121,0
2026-07-23,23,Thursday,7,2026,52.3818832512997,13.316834757287374,350
2026-08-01,14,Saturday,8,2026,52.491289668795964,13.466618996917092,2099
2026-08-01,16,Saturday,8,2026,52.49122629111971,13.371781155643582,600
2026-07-31,23,Friday,7,2026,52.518412001428544,13.347937290412139,1800
2026-07-31,21,Friday,7,2026,52.46039949392098,13.385001212639006,1000
2026-07-31,23,Friday,7,2026,52.420376644894596,13.134466065362494,860
2026-08-01,4,Saturday,8,2026,52.408381801252375,13.204047820564321,700
2026-07-31,20,Friday,7,2026,52.55904401226974,13.615268943443265,2699
2026-07-31,13,Friday,7,2026,52.609369780275415,13.604691479762288,420
2026-08-01,15,Saturday,8,2026,52.5677018283233,13.412125163908293,415
2026-07-30,19,Thursday,7,2026,52.5493086980445,13.591522148689819,575
2026-08-01,18,Saturday,8,2026,52.6293321827907,13.582447531935196,700
2026-08-01,15,Saturday,8,2026,52.453612744795514,13.539106966126557,1100
2026-07-30,17,Thursday,7,2026,52.59889512521876,13.591870090845347,398
2026-07-31,20,Friday,7,2026,52.57555235341191,13.629957168637402,2000
2026-07-31,18,Friday,7,2026,52.58974963247671,13.632341116332382,1249
2026-07-31,14,Friday,7,2026,52.50208803882677,13.44292235518989,6000
2026-07-31,17,Friday,7,2026,52.33,13.10860008336515,1300
2026-07-30,16,Thursday,7,2026,52.41951640560812,13.236001669166287,660
2026-07-31,17,Friday,7,2026,52.475155628575585,13.315002185623584,200
2026-07-22,14,Wednesday,7,2026,52.67,13.733040511942582,900
2026-07-31,18,Friday,7,2026,52.525186489086316,13.503908888158428,200
2026-07-31,15,Friday,7,2026,52.34317531985534,13.229974977963115,1239
